bacteria_name,feature_importance_vals,bacteria_avg,bacteria_std,outlier,normal,feature_importance_outlier
g__Subdoligranulum,0.27786029384011557,1e-10,1.0324039290710716,1e-10,True,3.978246681342217
g__Enterococcus,0.2319665064524323,12.8318853716863,0.7731184046774244,12.6696127312291,True,3.778557244123445
g__Dorea,0.22556917421459727,1e-10,1.068846952983668,1e-10,True,2.7713832960179703
g__Akkermansia,0.09974611856914695,6.577318654435645,3.112719824825705,4.88613203544172,True,2.478927491065751
g__Lactococcus,0.9776498515455117,7.698546042515271,0.9834128690984903,8.012025868807,True,1.6589405174180825
g__Anaerotruncus,0.16485790692370778,4.26166757006989,2.7880126415013264,5.861530062208638,True,1.657650468660416
g__Collinsella,1.0530165911256923,1e-10,1.5810480657780686,1e-10,True,1.523121757379453
g__Eubacterium,0.9424026530889039,8.19432813559928,0.9787891094201322,8.012025868807,True,1.4266356703981269
g__Faecalibacterium,0.8653941542198247,1e-10,1.0393511216385087,1e-10,True,1.3036738544421813
g__Anaerostipes,1.3345610382282451,1e-10,2.6490705092679434,4.88613203544172,False,1.2188701606987076
g__Bilophila,0.02300909443102012,7.697979290972735,0.9594305860089986,6.43819778419808,False,0.9501915163661065
g__Prevotella,0.39619012223898314,4.359987413703935,2.9655151840385185,5.861530062208638,True,0.8969828768345399
g__Holdemania,1.0950744904711498,5.2905574848312344,2.603128021418495,7.42985503869742,True,0.667382487355879
g__Sutterella,0.25818088340012574,1e-10,2.591634560218408,4.88613203544172,False,0.5754344597277735
g__Bryantella,0.36052304866007545,1e-10,1.584250951390334,1e-10,True,0.5676318961756459
g__Enterobacter,0.4256424615684578,1e-10,2.3411938444609635,1e-10,True,0.4692871960970821
g__Anaerovorax,0.17446449531792863,5.185852845748231,1.9559144854894093,1e-10,False,0.3597603604050968
g__Clostridium,0.05679447026423597,1e-10,1.2924697071141057e-26,1e-10,True,0.3557416911783306
g__Ruminococcus,0.09106188074102604,1e-10,1.2924697071141057e-26,1e-10,True,0.2529951045814985
g__Anaerofustis,0.25330940626573795,1e-10,2.4813586601107613,1e-10,True,0.21798684704585472
g__Eggerthella,0.04250331908800451,1e-10,2.3463498803583507,1e-10,True,0.18990277187734664
